description,label
สะพานถนนข้ามคลองเคล็ด ซอยอุดมสุข ซ่อมแซมปรับปรุงมาน่าจะเป็นสิบปี เคยสร้างเสร็จไม่กี่เดือนที่ผ่านมา พอเปิดใช้ก็พังทลาย ต้องปิดช่องจราจรทำใหม่อีก กลัวว่าจะมีการทุจริต และยืดเวลาการก่อสร้างไปอีกนาน อยากให้หน่อยงานที่เกี่ยวข้องเข้ามาตรวจสอบครับ,กรุงเทพโปร่งใส&ทุจริต
หลอดไฟชำรุด ใช้งานไม่ได้,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ตรงปากซอยนราธิวาส14มีเสาไฟค่อยๆเอนวันละนิดกลัวจะล้มและเกิดไฟไหม้เพราะอยู่ใกล้ปั้มน้ำมันครับ อยากให้ช่วยตรวจสอบและแจ้งการไฟฟ้าด้วยครับ ขอบคุณครับ,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ขับรถตกหลุม ช่วงล่างกระแทก ล้อหน้าซ่อมล้อดุ้งไป 1 ครั้งแล้วค่ะ และต้องเสียค่าทำสีล้ออีก,"('ถนน', 'พื้นผิวถนนชำรุด')"
ต้องการแจ้งเรื่องเผา,มลภาวะทางอากาศ
มีผู้รุกล้ำ สร้างสิ่งก่อสร้างในคลองหัวตะเข้ ซึ่งเป็นคลองสาธารณะ ทิ้งขยะ สิ่งปฏิกูลลงแหล่งน้ำ โดนได้ร้องเรียนที่1555แล้วหมายเลขรับเรื่อง มีดังนี้ 88290/64 125288/64 168409/64 192177/64 203367/64 17717/65 46410/65 แต่ก็ยังไม่ได้รับแก้ไข จึงแจ้งมาเพื่อพิจารณาดำเนินค่ะ ขอบพระคุณค่ะ,"('ขยะ', 'น้ำเน่าเสีย')"
คลองมีแต่ขยะและต้นไม้เตมไปหมด  ซอย  หทัยราด33,"('ขยะ', 'น้ำเน่าเสีย')"
รถจอดในพื้นที่ห้ามจอด,"('ถนน', 'รถจอดขวางถนน')"
อยากให้ช่วยมาตัดต้นไม้หน่อยครับกลัวโดนสายไฟไม่ทราบว่าพอจะช่วยเหลือได้หรือไม่ครับ,ต้นไม้
พบผู้สูบบุหรี่ในพื้นที่สาธารณะ หลัง Big C รัชดา ส่งผลให้ผู้ที่อาศัยอยู่บริเวณนั้นมีอาการสำลักควันอย่างหนัก,มลภาวะทางอากาศ
แจ้งเรื่องถนนไม่เรียบ ซอยศรีภูมิ,"('ถนน', 'พื้นผิวถนนชำรุด')"
ป้ายรถเมล์ดอนเมืองขาเข้าครับ รถแท็กซี่จอดรอผู้โดยสาร ทำให้รถชลอตัวและติดครับ หางแถวบางวันอยฟู่เกือกม้าฐานทัพอากาศ ผมขับรถมา10กว่าปีตรงนี้ ติดทุกวัน,รถสาธารณะ
พบเจอผู้กระทำผิดโดยการผู้สูบบุหรี่ในพื้นที่สาธารณะ ส่งผลให้ผู้ที่อยู่บริเวณนั้นมีอาการสำลักควันอย่างหนัก อันตรายถึงชีวิต ต้องจับกุมโดยด่วน,มลภาวะทางอากาศ
เปิดเพลงเสียงเบสหนัก และก็เสียงดังเป็นประจำ มีคนเปลกหน้าเข้าออกบ่อย ไม่มีเลขที่บ้าน แต่เดิมเป็นพื้นที่รกร้าง,เสียง
ต้นไม้บังทางออกซอย,ต้นไม้
ไฟฟ้าส่องสว่างริมคลองไม่ติด พิกัด ริมคลองวังใหญ่ เขตหัวหมาก บางกะปิ,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ขอร้องเรียนแยกสรรพาวุธ ปกติแล้วถ้าไม่ใช่วันหยุด หรือหยุดราชการตรงแยกสรรพาวุธจะเปิดไฟกระพริบสีสัม ทั้งๆ ที่รถเยอะมากแต่รถไม่ติด พอวันหยุดเปิดเป็นไฟเขียว ไฟแดง จากที่รถน้อย รถไม่ติด กลายเป็นรถติดเฉยเลย,จราจร
มีร้านขายของบนทางเท้าใกล้ป้ายรถเมล์ บริเวณหน้าคอนโดคิวเฮ้าส์ สุขุมวิท 79 ทุกวัน เกะกะกีดขวางการเดินเท้าของทุกคน,"('ทางเท้า', 'หาบเร่แผงลอย')"
ไฟที่ซอยอ่อนนุช 43 ไม่ติดมานานแล้วค่ะ ซอยมืดมากๆ ค่อนข้างเปลี่ยวค่ะ,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
1รถจอดกีดขวางการจารจร เมื่อก่อนเป็นถนน 2 เลน สวนกัน มีการขยายถนนเป็น 4 เลน แต่มีการจอดรถข้างทางทำให้เสียช่องทางจารจรไปด้านละ 1 ช่องทาง ทำให้มีรถติดสะสม ช่วงเวลาเร่งด่วน,จราจร
วินมอเตอ์ไซค์ สามล้อ สองแถว ปิดทางข้ามถนน ปากซอยสาทร11ทำให้ไม่สะดวกที่ทางข้าม รวมถึงทำรถติดขัดในช่วงเวลาเข้าเรียนและเลิกเรียน เช้าเย็น,วินมอเตอร์ไซค์
สวนหย่อมข้างทางเท้า,สวนสาธารณะ
ถนนมีน้ำท่วมขังและลื่นทำให้เกิดอุบัติเหตุได้ง่ายถนนไม่มีทางระบายน้ำ,"('ถนน', 'พื้นผิวถนนชำรุด')"
สะพานลอยเซ็นทรัลบางนา เขตบางนา แคบและไม่มีที่สำหรับคนพิการหรือตาบอด  อันตราย และพบคนมาขายของบนสะพานลอย,การเข้าถึงของคนพิการ&ผู้สูงอายุ
กองขยะกีดขวางบนถนน ซอยอารีย์สัมพันธ์ 4,"('ขยะ', 'ขยะ')"
ทางเราไม่มีเครื่องถ่ายภาพควันในตอนกลางคืนได้ครับ,มลภาวะทางอากาศ
ทางเดินมีรั้วสังกะสีล้มขวางคนแก่เดินไปหาหมอที่ศูนย์สาธารณสุขจะตกคลองน่าจะมีราวกั้นหรือดันรั้วเข้าไป แจ้งทางเขตมาดูหลายรอบแล้วไม่ได้รับการแก้ไข,การเข้าถึงของคนพิการ&ผู้สูงอายุ
ไฟส่องทางในซอย เพชรเกษม 110 มืดมาก แจ้งการไฟฟ้าไปเป็นเดือนได้แล้วไม่มีการแก้ไข ทำให้ผู้สูงอายุ คนแก่ ผู้ใช้ถนนตอนกลางคืน ลำบาก มืด และอันตรายมาก,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ฝาท่อบนทางเดินชำรุด,"('ทางเท้า', 'ท่อระบายน้ำบนทางเท้า')"
ทางเท้าไม่เรียบ เดินสะดุด,"('ทางเท้า', 'ทางเท้าชำรุด')"
ไฟทางเดิน skywalk จาก bts บางบัว-ราบ 11 ไม่ติดจำนวนหลายดวง,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
>ปัญหาน้องแมวจรค่ะ  อยู่แถวคลินิคแพทย์แผนไทยเชตุพน (วัดโพธิ์) สงสารเด็กๆ ค่ะ บางบ้านเอาไม้ไล่ตี น้องมีหลายตัว ได้กินข้าวบ้าง ไม่ได้กินบ้าง,สัตว์
แจ้งไฟส่องสว่างถนนในซอยดับ,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
มีการทิ้งขยะในสวนหย่อม ซึ่งเป็นที่ออกกำลังกายของชุมชน เครื่องเด็กเล่นก็ชำรุดเสียหาย,สวนสาธารณะ
ร้านมาแดกแยกไฟฉาย ล้างกน้าร้านคราบน้ำมันเต็มฟุตบาทคนเดินแล้วลื่น,"('ทางเท้า', 'ทางเท้าชำรุด')"
อยากให้กำชับรถมูลนิธิที่วิ่งในเขตชุมชน ให้ใช้เสียงเท่าที่จำเป็นครับ,เสียง
จอดรถในที่ห้ามจอด ทำทางเท้าสกปรก กีดขวาง,จราจร
(แจ้งครั้งที่ 2) วินมอไซค์จอดกีดขวางป้ายรถเมล์ - แจ้งเทศกิจไปหลายครั้ง ๆๆๆ ทุกครั้งไม่ได้รับการแก้ไข,จราจร
ต้นไทรขึ้นพันต้นไม้จะทำให้ต้นไม้ตายได้ ด้านหน้ามีตติ้งมอล,ต้นไม้
วินมอเตอร์ไซค์ไม่ถูกระเบียบ,วินมอเตอร์ไซค์
จรัญสนิทวงศ์ 37 ไม่มี footpath ทำให้เวลามีรถวิ่งเข้าออก 2  ทาง อาจเฉี่ยวชนคนเดินได้,"('ทางเท้า', 'ทางเท้าชำรุด')"
แต่ เรือ อยู่ฝั่งตรงข้ามคอนโด นะครับ ผมยืนถ่ายจากระเบียง ห้อง คอนโด,reject
ไฟฟ้าข้างทางในซอยสำนักงานเขตบางแคบางดวงไม่ติด กลางคืนมืดและอันตรายมากค่ะ,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ถูกแอดมินสำนักงานเขตประเวศบล็อค facebook ครับ เนื่องจากก่อนหน้าที่จะมีแอพฟองดูว์ ผมเคยแจ้งปัญหาไปค่อนข้างบ่อยแต่ไม่ได้รับการตอบสนอง ในก่อนหน้านี้ ก่อนหน้านี้เคยมีการลบโพสที่ผมได้แจ้งปัญหาไป ล่าสุดผมได้มีการลองใช้account เพื่อนเพื่อเข้าไปดู พบว่าสามารถค้นหาได้และพึ่งมีการอัพเดทเพจไปประมาณ4ชั่วโมงที่แล้ว  แบบนี้ถือว่าเป็นทุจริตรึเปล่าครับ ว่าละเลยการปฏิบัติหน้าที่ต่อผลเมืองรึเปล่าครับ🙏,กรุงเทพโปร่งใส&ทุจริต
ฝาท่อชำรุดค่ะ เวลาออกจากบ้านต้องเลี้ยวลงบนฝาท่อนี้ อันตรายค่ะ,"('ถนน', 'ท่อระบายน้ำบนถนน')"
จอดรถขวางบริเวณทางเท้า,"('ทางเท้า', 'รถจอดขวางทางเท้า')"
ต้องการแจ้งปัญหาความชำรุด ทรุดโทรม ไม่ได้รับการดูแล ของพื้นสนามบาสเก็ตบอลบริเวณใต้ทางด่วนเอกมัย-รามอินทรา ทำให้เกิดอันตรายเวลาเล่นกีฬาครับ + ห้องน้ำไม่เปิดให้ใช้บริการ ไม่มีน้ำในการล้างมือ ทำความสะอาด เลยครับ,อาคารสถานที่ชำรุด
1. ร้องเรียนการถมที่ทำการก่อสร้าง ทำให้พื้นที่ข้างเคียงได้รับความเสียหาย,อาคารสถานที่ชำรุด
ขอให้เขตบางคอแหลมช่วยมาลอกคลองวัดจันทร์ใน ถนน เจริญกรุง ซอย เจริญกรุง 107 คลองวัดจันทร์ใน  ปัจจุบันคลองมีขยะสะสมเพราะไม่ได้ลอกคลองมานานมาก /เช็คประวัติการลอกคลองได้คะ ลอกล่าสุดมาจากกรมราชทัณฑ์ซึ่งนานมาก/หากลอกแล้วคลองจะได้ช่วยระบายน้ำได้ด้วย ปัจจุบันเป็นคลองน้ำเน่าก่อให้เกิดโรคมากมาย,"('ขยะ', 'น้ำเน่าเสีย')"
ไฟทางม้าลายไม่ติด ไฟถนนไม่ติด ตรงซอยประดิพัทธ์ 19,"('ถนน', 'ทางม้าลาย')"
ไฟสวนสาธารณะเสีย สวนมีหญ้าขึ้น,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ไฟหน้าลิฟท์คนพิการ BTS สุขุมวิททางลงหน้าเกตเวย์เอกมัยเสีย,การเข้าถึงของคนพิการ&ผู้สูงอายุ
ฝาท่อบริเวณถนนเจริญนครหน้าวัดสุวรรณ เป็นหลุมยุบลงไปครับ,"('ถนน', 'ท่อระบายน้ำบนถนน')"
แจ้งเรื่องพบเห็น คนไร้บ้าน อยากให้ช่วยมีที่อยู่อาศัยและมีอาชีพ,คนไร้บ้าน&ขอทาน
1. น้ำที่คูคลองเล็กๆ มีแต่ขยะและน้ำเน่า,"('ขยะ', 'น้ำเน่าเสีย')"
อยากให้มาจัด ดนตรีในสวน สวนสาธารณะเฉลิมพระเกียรติ 6 รอบ พระชนมพรรษา สถานที่เหมาะและสวยมากบรรยากาศดี,สวนสาธารณะ
จากครั้งที่แล้ว ปัญหาคนไร้บ้าน โดยปกติช่วงกลางวันเขาจะไม่อยู่บริเวณนั้นี่ะ เขาจะมาช่วงเย็นๆ ดังภาพแรกที่ถ่ายเมื่อกี้ (~19.10) และตอนเช้า ภาพที่ 2 ค่ะ (~05.30) อยากให้เขาได้อยู่ที่ที่ดีกว่านี้ค่ะ,คนไร้บ้าน&ขอทาน
รถที่เก็บชยะตรงสุขุมวิท93ปล่อยน่ำเน่าแบบนี่เลยหรอคะ มันเหม็นทั้งทางเลยนะคะ,"('ขยะ', 'ขยะ')"
สะพานลอยหน้าพาต้าเป็นของความรับผิดชอบของสำนักงานเขตบางพลัด  สะพานลอยมีความสกปรกมากๆ ชอบมีขอทานเเละมีกระดาษติดตามสะพานลอยเต็มไปหม,คนไร้บ้าน&ขอทาน
1. พื้นทางเท้าชำรุด 2. น็อตที่กั้นถนนโผล่ออกมายาวมาก บริเวณนี้เคยมีคนแก่สะดุดล้มและหัวไปโดนน็อตทะลุจนถึงแก่ชีวิตด้วยค่ะ,การเข้าถึงของคนพิการ&ผู้สูงอายุ
แต่ถนนจะเป็นหลุม เวลาหน้าฝน อยากให้ปรับปรุงริมคลองด้วยจะดีมากครับ,"('ถนน', 'พื้นผิวถนนชำรุด')"
ป้ายรถเมล์ร้อนมาก เก้าอี้จะนั่งได้จริงหรอคะ อยากให้ผอ.เขตลองมานั่งดูหน่อย สภาพแย่มากค่ะ ไม่สงสารคนใช้รถสาธารณะเลย,อุปกรณ์ชำรุด
แจ้งเรื่องต้นไม้ที่อยู่บนฟุตบาทแต่ ยื่นเข้ามาในเขตรั้วบ้านใบไม้ร่วงลงมาภายในบ้านค่ะแจ้งให้ตัดกิ่งไม้ไปก็ไม่เคยตัดเลยค่ะตอนมาตัดก็ตัดแต่กิ่งที่ยื่นออกไปทางถนนค่ะ ต้องมานั่งกวาดใบไม้ทุกวันเลยค่ะเสียเวลามากเลยค่ะ,ต้นไม้
เสาไฟล้้ำถนน ตั้งแบบนี้มาหลายปีแล้ว พิกัด ริมถนน ซอยสุภาพงษ์ 1 (ท้ายซอยศรีนครินทร์42) แขวหนองบอน เขต ประเวศ หทม,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ผมอยากแจ้งเรื่องการจัดซื้อจัดจ้าง และเรื่องทุจริต ไม่เห็นมีการตอบรับจากทุกช่องทางที่ติดต่อไป เป็นเวลาเดือนกว่าแล้วครับ,กรุงเทพโปร่งใส&ทุจริต
รถจักรยานยนต์รอเลี้ยวขวาทั้งมีป้ายห้ามเลี้ยว เวลาคนข้ามถนน รถที่เลี้ยวจะขับปาดคนข้ามถนนเป็นอันตราย,จราจร
ป้ายแจ้งการไฟฟ้าชำรุด และบดบังการขับรถออกจากคอนโด,อุปกรณ์ชำรุด
วันนี้ยังไม่มีการเเก้ไข ฝาท่อที่เเยกสวนสยามเลยค่ะ,"('ถนน', 'ท่อระบายน้ำบนถนน')"
1.การทิ้งขยะควรมีถังขยะทุกจุด 2.ม.บุรีรมย์ ซ.คู้บอน41 เขตคลองสามวาได้รับความเดือดร้อนจากการทิ้งขยะของประชาชน ที่นำมาทิ้งที่หน้าหมู่บ้านโดยไม่ได้มีถังขยะ ทำให้สุนัขจรมาคุ้ยเขี่ย ซึ่งส่งผลกระทบต่อภาพลักษณ์ของหมู่บ้าน ด้วยเหตุนี้จึงใคร่ขอความเมตตาจากผู้ว่าค่ะ ขอบคุณค่ะ,"('ขยะ', 'น้ำเน่าเสีย')"
ตลาดบางกะปิ ผู้ขายโกงตราชั่งหลายเจ้าค่ะ อยากให้เข้าไปตรวจสอบ,กรุงเทพโปร่งใส&ทุจริต
แล้วงี้ผมก็โดนเขม่นดิ คุณไปแจ้งว่าเค้าก่อสร้างเสียงดัง ผมไม่ได้ว่าเลยซักนิดก่อสร้างอะไรเสียงไม่ดังมีด้วยเหรอ ช่วยไปทำความเข้าใจใหม่ได้ไหม,เสียง
แจ้งเรื่องวางสิ่งกีดขวางกันที่จอดริมถนนค่ะ,"('ถนน', 'รถจอดขวางถนน')"
ส่งกลิ่นเหม็นเน่า,"('ขยะ', 'น้ำเน่าเสีย')"
1.อยากให้จัดถังขยะขนาดใหญ่ เพราะตรงนี้เป็นที่ทิ้งขยะของร้านหาบเร่ โดยช่วงหัวค่ำจะเป็นกองขยะใหญ่สกปรกบนทางเท้าทุกวันครับ 2.ร้านก๋วยเตี๋ยวรถเข็นเทอาหารของเหลวลงพื้นทางเท้าไหลลงท่อทุกวัน ทำให้พื้นสกปรก น้ำในคลองเน่า,"('ขยะ', 'น้ำเน่าเสีย')"
ป้ายรอรถเมล์ หน้ามหาลันราชภัฎสวนสุนันทา  ถนนราชวิถี ไม่มีไฟฟ้าส่องสว่าง,รถสาธารณะ
ทางเท้ายุบลงไป,"('ทางเท้า', 'ทางเท้าชำรุด')"
ควรระบายสีทางข้ามม้าลายระหว่างเส้นทางจากแยก ภ.สุรศักดิ์ ตัดกับ ถ.สาทรใต้ ที่เดินไป ถ.เจริญราษฎร์ เพราะฝั่งด้านอื่นมีทางม้าลาย แต่ฝั่งนี้ไม่มี และคนเดินเท้ายืนรอข้ามถนนตรงนี้ทุกครั้ง,"('ถนน', 'ทางม้าลาย')"
ทางม้าลายเก่ามาก นานปี สีไม่มี รถแรงมากค่ะ ข้ามถนนยากมากมีอุบัติเหตุบ่อย คนสูงอายุข้ามลำบาก เคยส่งไปในกลุ่มคนรักดอนเมือง เงียบสนิท ถ้าเป็นไปได้ ขอปุ่มกดคนสัญญาณไฟคนเดินข้าม ***ทางข้ามหน้าแฟลตการเคหะ อยู่ตรงข้ามกับเจ้เล้ง ใต้สถานี BTS การเคหะ,"('ถนน', 'ทางม้าลาย')"
ทางเท้าชำรุด บริเวณหน้า ตอง9 โฮเต็ล,"('ทางเท้า', 'ทางเท้าชำรุด')"
บริเวณ บีทีเอสกรุงธนบุรี หน้าคอนโดไอดีโอโมบิสาทร,reject
สวัสดีครับจะแจ้งท่อแตกครับ,ประปา
ทางเข้าหมู่บ้านมีการนำศาลพระภูมิเก่ามาทิ้งข้างทางจำนวนมาก ทำลายทัศนียภาพ โดยมองเห็นได้จากที่สาธารณะ,"('ขยะ', 'ขยะ')"
จำนวนเวลา 20 วินาทีในการข้ามทางม้าลายเห็นว่าน้อยเกินไป ต้องวิ่งหรือเดินเร็วซึ่งไม่สะดวก ยิ่งเป็นผู้สูงอายุหรือคนพิการยิ่งลำบาก ขอพิจาราณาให้ปรับเวลาเพิ่มตามความเหมาะสม ตำแหน่งทางม้าลายหน้าธนาคารกรุงเทพ สำนักงานใหญ่ ซอยละลายทรัพย์,"('ถนน', 'ทางม้าลาย')"
เรียน ท่านผู้ว่า เพื่อลดขยะ gas มีเทน ลดโลกร้อน และให้คนจน สลัม ขอทาน คนไร้บ้าน มีอาหารทาน  รบกวนเจรจา cpall 7-eleven นำอาหารวันที่ ใกล้ถึง/ตรงหรือเกิน  best before date ใส่ในตู้ปันสุข ตามจุดชุมชน โดยเฉพาะ สลัม,คนไร้บ้าน&ขอทาน
ต้นไม้ผุด้านในหักโค่นง่ายบนทางเท้า,ต้นไม้
เรื่องทางเท้าที่แย่มากๆ และสกปรก,"('ทางเท้า', 'ทางเท้าชำรุด')"
คนจรจัดทำความสกปรก เสียงดัง ของวางเต็มพื้นที่ทั้งฟุตบาท ทั้งถนน ปัสวะริมกำแพง ดื่มแอลกอฮอล์ ตะโกนเสียงดัน  ไม่แน่ใจว่าเจ้าหน้าที่มาตอนไหน แล้วถึงไม่เจอคนจรจัด เพราะขณะเวลา 14.45 ก็ยังมีคนจรจัดเหมือนเดิม โดยปกติช่วงเช้าช่วงเย็นจะมาอยู่กันเยอะมาก ฝากให้เจ้าหน้าที่มาตรวจตามเวลาที่แจ้งก่อนค่ะ เป็นปัญหาที่ไม่ได้รับการแก้ไขสักที,คนไร้บ้าน&ขอทาน
ป้ายรถเมล์ชั่วคราวหลังคาขาด เวลาฝนตกมาจะทำให้เปียก,รถสาธารณะ
ขยะส่วนนี้ทำให้เกิดยุงลายครับ,"('ขยะ', 'ขยะ')"
คนไร้บ้านใต้สะพานลอย แถว สน.บางซื่อ,คนไร้บ้าน&ขอทาน
อยากให้เข้ามาดู ตรง ถนน แถวหมู่บ้าน กลางเมือง มอนติคาร์โลค่ะ ไฟทางไม่มีเลย ตอนกลางคืน มืดมาก อันตรายมากค่ะ,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ซอยนี้ เป็นซอยแคบค่ะ แล้วเป็นซอยสุดท้าย ที่ถนนต่ำมาก จะมีปัญหาทุกครั้ง เรื่องที่จอด กับฝนตกหนักน้ำท่วม ค่ะ,น้ำท่วม
บริเวณซอยสุขุมวิท21 แยก1 (ข้างตึกเสริมมิตร) มีร้านค้ามาขายของริมฟุตบาธ ทำให้คนใช้ทางเดินลำบากมาก,"('ทางเท้า', 'หาบเร่แผงลอย')"
กองขยะปากซอยบนท่อระบายน้ำ ซึ่งกีดขวางการจราจรและเป็นเหตุของท่อระบายน้ำตัน และแพร่เชื้อโรค,"('ขยะ', 'ขยะ')"
อยากทราบความคืบหน้าที่แจ้งไปครับ เพราะผ่านตรงจุดนี้ยังไม่เห็นมีการซ่อมครับ,reject
ถนนรถสัญจรในซอยอ่อนนุช 66 แยก 19-16 เป็นเส้นสำคัญที่ผู้คนใช้วิ่งทะลุจากศรีนครินทร์ 45 ไปออกพัฒนาการ 94 ไม่มีท่อระบายน้ำ ทำให้พื้นถนนพัง เป็นหลุมเป็นบ่อเมื่อเกิดฝนตก น้ำท่วม  ก่อนหน้านี้มี สมาชิกสภากรุงเทพมหานครมาขอให้ลงชื่อบอกว่างบมาแล้ว เซ็นไป 2 ครั้งก็ไม่มีอะไรคืบหน้าครับ,จราจร
1.คนจรจัดนอนบริเวณ ถ จักรพงษ์ เหมือนเคยมีตำรวจไล่ไปแล้วแต่เค้าก้กลับมาใหม่ตลอด บางทีก้มาเป็นกลุ่ม,คนไร้บ้าน&ขอทาน
สถานีสายสีแดงดอนเมืองจุดเชื่อมต่อรถไฟฟ้าและสนามบิน ไม่มีพื้นที่ลาดสำหรับรถเข็น ผู้พิการ ผู้เดินทางที่มีกระเป๋า ระบบไฮโดรลิคสำหรับยกรถเข็นเสียค่ะ ไหนๆ ถ้าเป็นจุดที่เชื่อมต่อสนามบิน ควรมีการอำนวยความสะดวกที่ดีกว่านี้ค่ะ เพราะจะช่วยลดปัญหารถติด และเดินทางสะดวกด้วยรถไฟฟ้า,การเข้าถึงของคนพิการ&ผู้สูงอายุ
แจ้งสายไฟและสายสื่อสารที่เป็นอันตราย และมีการวางสิ่งของ เช่นยางรถ และอื่นๆ ที่ง่ายต่อการเกิดเหตุไฟไหม้ลุกลาม,"('ไฟฟ้า', 'เสาไฟฟ้า&สายไฟฟ้า')"
ปัญหาฝาท่อเป็นเนินสูงขึ้นมา ที่หน้าตึก ไอบีเอส ถ.มเหสักข์ รถวิ่งมาชะลอไม่ทัน กระแทกช่วงล่างเสียหมดครับ,จราจร
ห้องน้ำสาธารณะในสวนพฤกษชาติ คลองจั่นบางกะปิมีการเรียกเก็บเงินค่าบริการ ถือเป็นเหตุทุจริต!?!?,กรุงเทพโปร่งใส&ทุจริต
มีต้นไม้ที่เป็นพุ่มไม้ บดบังการมองเห็น ในการขับขี่รถออกจากซอย  (ปากซอยประชาชื่น 29 ถ.ประชาชื่น),ต้นไม้
ฝาท่อชำรุด,"('ถนน', 'ท่อระบายน้ำบนถนน')"
จอดรถยนต์บนทางเท้า,"('ทางเท้า', 'รถจอดขวางทางเท้า')"
4  ทุ่งเศรษฐี18  ทำอาหารส่งกลิ่นเหม็นมา18ปี   เจ้าหน้าที่สิ่งแวดล้อม  ประเวศมาตรวจ2รอบ ปัญหาก็ยังไม่แก้ไข  กลิ่นอาหารรบกวน ลอยมากระทบกับเสื้อผ้า,มลภาวะทางอากาศ
บ้านพักกองบินตำรวจ ขอถังขยะเพิ่ม,"('ขยะ', 'ขยะ')"
ขอให้มาช่วยลอกขยะในคลองหลังทองไทคอนโด 1 และ 2 ซอยวุฒากาส 43 จอมทอง กทม ด้วยค่ะ บางวันเห็นมีที่นอนลอยอยู่ในคลอง ผู้ว่าช่วยแจ้งให้คนในหน่วยงานมาดูด้วยค่ะ ขอบคุณค่ะ(แอดมินกลาง),"('ขยะ', 'น้ำเน่าเสีย')"
ท่อประปา แตก น้ำท่วมซอย,น้ำท่วม
ไฟทางไม่ติดครับ,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
บริเวณหน้าmajorปิ่นเกล้า มีการจอดรถtaxi รอรับผู้โดยสาร กีดขวางป้ายรถเมล์ ทำให้รถเมล์เข้าป้ายไม่ได้  ต้องไปจอดเลนถัดๆไป เกิดการจราจรติดขัด,"('ถนน', 'รถจอดขวางถนน')"
ต้นไม้ไหญ่ ข้างถนน กลัวว่าอาจจะหักใส่บ้านได้คะ,ต้นไม้
กระจกส่องทางแตก,อุปกรณ์ชำรุด
วินมอเตอร์ไซค์หน้า MRT ศูนย์ประชุมสิริกิตต์ทางออก 1 FYI Center จับกลุ่มมั่วสุ่มตรงป้ายรถเมล์ ทำให้คนรอรถเมล์ไม่สะดวก จอดในที่ห้ามจอด ไม่แน่ใจว่าจดทะเบียนวินขึ้นมาได้อย่างไร,วินมอเตอร์ไซค์
ตอนกลางคืนมืดมากครับ ไม่มีไฟทาง,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ห้องน้ำในสวนสาธารณะ แต่เก็บค่าเข้าบริการค่ะ,สวนสาธารณะ
ปัญหาจุดทิ้งขยะที่ป้ายรถเมล์ตรงข้ามโรงพยาบาลลาดกระบัง จุดทิ้งขยะดังกล่าวสกปรกเเละส่งกลิ่นเหม็นรบกวนผู้ที่รอรถประจำทางเเละผู้ที่ผ่านไปมา,"('ขยะ', 'ขยะ')"
สุนัขเห่าส่งเสียงดังเวลากลางคืน,สัตว์
มีรูปตอนกิ่งไม้หักปลิวพาดสายไฟ,ต้นไม้
รถเมล์หน้าเอ็นมาร์คพลาซ่าตรงข้ามกับเดอะมอลล์บางกะปิ รถเมล์เอกชนจอดแช่ป้ายเป็นเวลานานนนน ทำให้จราจรติดขัด มองรถเมล์คันอื่นไม่เห็น เวลารถขสมก.มาจอดทำให้ต้องจอดเลนกลาง อันตรายรถมอเตอร์ไซค์จะเฉี่ยวชนหลายครั้งแล้วค่ะ เวลารถเมล์มาก็มองไม่เห็น ตำรวจมายืนดูแต่ก็ไม่ทำอะไร,จราจร
น้ำท่วมขังไม่มีรูท่อตะแกรงระบายขังมาเป็นปีแล้ว,น้ำท่วม
ร้านอาหารริมทาง ปล่อยน้ำเน่าลงถนน เหม็นคลุ้ง เน่ามาก,"('ขยะ', 'น้ำเน่าเสีย')"
จอดรถขวางทางจราจร,"('ถนน', 'รถจอดขวางถนน')"
น้ำท่วมแถวประเสริฐมนูญกิจ 43 ค่ะ,น้ำท่วม
ถนนสุขุมวิทขาเข้าในพื้นที่การดูแลของ สน.พระโขนง มีการปล่อยปะบะเลยให้รถบรรทุกวิ่งในช่วงเวบาเร่งด่วนและห้ามรถบรรทุกวิ่ง ในภาพเป็นเวลา 8.30 น  โดยเฉพาะข่วงเย็นประมาณ 17.00 น จะมีรถโม่ปูน รถเทรลเล่อร์ รถบรรทุกดิน วิ่งกันตามปกติ,จราจร
1.ฝาท่อฟุตบาทพัง,"('ทางเท้า', 'ท่อระบายน้ำบนทางเท้า')"
รถคันนี้จอดในที่ห้ามจอดตลอด ทุกเข้า,"('ถนน', 'รถจอดขวางถนน')"
เลยท่าเรืออู่รถเมล์สาย 9 เดินไปทางสถานีรถไฟฟ้าบางหว้า คะ,reject
ปัญหาน้ำท่วม,น้ำท่วม
คนเร่ร่อนเช็ดกระจกขอเงินบริเวณสามแยก อตก. เจ้าหน้าที่ตักเตือนแล้ว แต่ก็ยังรวมกลุ่มไม่ไปไหน และวันนี้มาเช็ดกระจกขอเงินเหมือนเดิม,คนไร้บ้าน&ขอทาน
